ordnum,orddetid,custcode,name,Ship to,descr,count size,Condition,variety,Sizes,Label,Order Status,Sum of pallets,Sum of qty,shpDate,deldate,dp,todp,Pallet
1438808,856278,COS263,COSTCO  COLLEGE PARK,COSTCO  COLLEGE PARK,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,1900,4/29/2025 0:00,4/30/2025 0:00,17,1225,19
1438810,856279,COS263,COSTCO  COLLEGE PARK,COSTCO  COLLEGE PARK,Blueberries,18OZX12,.,.,.,ALP,Open,,2400,4/30/2025 0:00,5/1/2025 0:00,17,1225,24
1438813,856296,COS263,COSTCO  COLLEGE PARK,COSTCO  COLLEGE PARK,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,2400,4/29/2025 0:00,5/2/2025 0:00,77,1225,24
1438815,856297,COS263,COSTCO  COLLEGE PARK,COSTCO  COLLEGE PARK,Blueberries,18OZX12,OR,.,.,HIP,Open,,1800,4/30/2025 0:00,5/2/2025 0:00,77,1225,18
1438821,856974,COS172,COSTCO TRACY C/D DEPOT,COSTCO TRACY C/D DEPOT,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,2000,4/28/2025 0:00,5/1/2025 0:00,2,1223,20
1438822,856975,COS172,COSTCO TRACY C/D DEPOT,COSTCO TRACY C/D DEPOT,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,2000,4/29/2025 0:00,5/2/2025 0:00,2,1223,20
1438823,856976,COS172,COSTCO TRACY C/D DEPOT,COSTCO TRACY C/D DEPOT,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,2000,4/30/2025 0:00,5/3/2025 0:00,2,1223,20
1438842,856981,CO1377,COSTCO OWATONNA MN,COSTCO OWATONNA MN,Blueberries,18OZX12,OR,.,.,HIP,Open,,1200,4/28/2025 0:00,5/1/2025 0:00,14,1200,12
1438886,859198,COS172,COSTCO TRACY C/D DEPOT,COSTCO TRACY C/D DEPOT,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,2400,5/1/2025 0:00,5/4/2025 0:00,2,1223,24
1438887,859199,COS172,COSTCO TRACY C/D DEPOT,COSTCO TRACY C/D DEPOT,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,2000,5/2/2025 0:00,5/6/2025 0:00,77,1223,20
1438888,859200,COS172,COSTCO TRACY C/D DEPOT,COSTCO TRACY C/D DEPOT,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,2000,5/3/2025 0:00,5/7/2025 0:00,77,1223,20
1438931,860113,COS263,COSTCO  COLLEGE PARK,COSTCO  COLLEGE PARK,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,1700,5/1/2025 0:00,5/5/2025 0:00,77,1225,17
1438932,860239,COS263,COSTCO  COLLEGE PARK,COSTCO  COLLEGE PARK,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,2000,5/2/2025 0:00,5/6/2025 0:00,77,1225,20
1438933,860240,COS263,COSTCO  COLLEGE PARK,COSTCO  COLLEGE PARK,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,1700,5/3/2025 0:00,5/7/2025 0:00,77,1225,17
1438939,860259,COS263,COSTCO  COLLEGE PARK,COSTCO  COLLEGE PARK,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,300,5/1/2025 0:00,5/5/2025 0:00,77,1225,3
1438940,860260,COS263,COSTCO  COLLEGE PARK,COSTCO  COLLEGE PARK,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,300,5/3/2025 0:00,5/7/2025 0:00,77,1225,3
1438985,861018,COS263,COSTCO  COLLEGE PARK,COSTCO  COLLEGE PARK,Blueberries,18OZX12,OR,.,.,HIP,Open,,800,5/2/2025 0:00,5/5/2025 0:00,77,1225,8
1438986,861019,COS263,COSTCO  COLLEGE PARK,COSTCO  COLLEGE PARK,Blueberries,18OZX12,OR,.,.,HIP,Open,,800,5/3/2025 0:00,5/7/2025 0:00,77,1225,8
1438987,861020,CO1377,COSTCO OWATONNA MN,COSTCO OWATONNA MN,Blueberries,18OZX12,OR,.,.,HIP,Open,,1400,5/1/2025 0:00,5/5/2025 0:00,77,1200,14
1505826,857855,CHRBRH,"BURRIS ROCKY HILLl,CT","BURRIS ROCKY HILLl,CT",Blueberries,18OZX8,.,.,.,ALP,Open,,1008,4/30/2025 0:00,4/30/2025 0:00,12,1184,7
1505826,857856,CHRBRH,"BURRIS ROCKY HILLl,CT","BURRIS ROCKY HILLl,CT",Blueberries,DRYPINTX12,OR,.,.,ALP,Open,,408,4/30/2025 0:00,4/30/2025 0:00,12,1184,2.8
1505828,857859,ROBFRE,ROBINSON FRESH,ROBINSON FRESH,Blueberries,18OZX8,.,.,.,ALP,Open,,288,4/29/2025 0:00,4/29/2025 0:00,12,1691,2
1505831,857865,CHRBRH,"BURRIS ROCKY HILLl,CT","BURRIS ROCKY HILLl,CT",Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,204,4/30/2025 0:00,4/30/2025 0:00,1,1184,1.4
1505838,861572,CHRBRH,"BURRIS ROCKY HILLl,CT","BURRIS ROCKY HILLl,CT",Blueberries,18OZX8,.,.,.,ALP,Open,,2736,5/2/2025 0:00,5/2/2025 0:00,77,1184,19
1505838,861574,CHRBRH,"BURRIS ROCKY HILLl,CT","BURRIS ROCKY HILLl,CT",Blueberries,DRYPINTX12,OR,.,.,ALP,Open,,408,5/2/2025 0:00,5/2/2025 0:00,77,1184,2.8
1505841,861585,ROBFRE,ROBINSON FRESH,ROBINSON FRESH,Blueberries,18OZX8,.,.,.,ALP,Open,,864,5/1/2025 0:00,5/1/2025 0:00,77,1691,6
1505843,861589,CHRCPD,"BURRIS ORLAND, FL","BURRIS ORLAND, FL",Blueberries,DRYPINTX12,OR,.,.,ALP,Open,,204,5/2/2025 0:00,5/2/2025 0:00,1,1185,1.4
1505847,861134,SOUSPE,SOUTHERN SPECIALTIES INC.,SOUTHERN SPECIALTIES INC.,Blueberries,6OZX12,.,.,.,ALP,Open,,1920,4/28/2025 0:00,4/28/2025 0:00,1,1761,8
1505852,862446,CHRBRH,"BURRIS ROCKY HILLl,CT","BURRIS ROCKY HILLl,CT",Blueberries,18OZX8,.,.,.,ALP,Open,,2160,4/29/2025 0:00,4/29/2025 0:00,12,1184,15
1505852,862447,CHRBRH,"BURRIS ROCKY HILLl,CT","BURRIS ROCKY HILLl,CT",Blueberries,DRYPINTX12,OR,.,.,ALP,Open,,408,4/29/2025 0:00,4/29/2025 0:00,12,1184,2.8
1616351,858182,COS572,572 - VAUGHAN DEPOT,572 - VAUGHAN DEPOT,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,800,4/29/2025 0:00,4/30/2025 0:00,12,1232,8
1616352,858183,COS572,572 - VAUGHAN DEPOT,572 - VAUGHAN DEPOT,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,1200,4/28/2025 0:00,5/2/2025 0:00,2,1232,12
